# control
22, 56,  1,
19, 45,  2,
41, 45,  3,
36, 20,  4,
42, 22,  5,
32, 50,  6,
14, 56,  7,
11, 48,  8,
19, 28,  9,
41, 34, 10,
45, 21, 11,
20, 52, 12,
21, 41, 13,
12, 57, 14,
36, 47, 15,
18, 31, 16,
25, 54, 17,
30, 34, 18,
# probe_1
36,  1,
74,  2,
61,  3,
56,  4,
22,  5,
56,  6,
87,  7,
65,  8,
87,  9,
22, 10,
64, 11,
51, 12,
65, 13,
57, 14,
24, 15,
82, 16,
74, 17,
78, 18,
# probe_2
47,  1,
37,  2,
21,  3,
73,  4,
85,  5,
32,  6,
84,  7,
54,  8,
71,  9,
26, 10,
26, 11,
74, 12,
93, 13,
23, 14,
84, 15,
45, 16,
53, 17,
32, 18,
