# control
40, 41,  1,
34, 36,  2,
43, 34,  3,
42, 21,  4,
41, 55,  5,
11, 41,  6,
34, 54,  7,
32, 48,  8,
19, 52,  9,
12, 32, 10,
27, 55, 11,
38, 52, 12,
25, 42, 13,
40, 25, 14,
12, 54, 15,
32, 29, 16,
29, 52, 17,
45, 21, 18,
38, 34, 19,
20, 57, 20,
31, 22, 21,
# probe_1
91,  1,
68,  2,
61,  3,
83,  4,
20,  5,
94,  6,
59,  7,
33,  8,
73,  9,
85, 10,
34, 11,
30, 12,
66, 13,
51, 14,
79, 15,
32, 16,
55, 17,
24, 18,
82, 19,
42, 20,
74, 21,
# probe_2
74,  1,
32,  2,
78,  3,
24,  4,
94,  5,
32,  6,
70,  7,
83,  8,
67,  9,
48, 10,
21, 11,
64, 12,
53, 13,
84, 14,
86, 15,
22, 16,
22, 17,
87, 18,
81, 19,
81, 20,
46, 21,
