# control
21, 25,  1,
30, 43,  2,
42, 38,  3,
27, 24,  4,
23, 54,  5,
29, 22,  6,
12, 41,  7,
40, 56,  8,
12, 38,  9,
23, 44, 10,
22, 56, 11,
27, 43, 12,
31, 49, 13,
29, 38, 14,
39, 32, 15,
40, 29, 16,
15, 30, 17,
30, 38, 18,
43, 38, 19,
# probe_1
48,  1,
26,  2,
46,  3,
76,  4,
78,  5,
91,  6,
29,  7,
57,  8,
63,  9,
91, 10,
56, 11,
55, 12,
75, 13,
55, 14,
41, 15,
31, 16,
93, 17,
20, 18,
63, 19,
# probe_2
76,  1,
60,  2,
31,  3,
95,  4,
91,  5,
20,  6,
94,  7,
43,  8,
41,  9,
92, 10,
68, 11,
41, 12,
56, 13,
81, 14,
84, 15,
33, 16,
78, 17,
40, 18,
59, 19,
