# control
21, 28,  1,
18, 27,  2,
16, 21,  3,
30, 32,  4,
11, 25,  5,
16, 45,  6,
24, 36,  7,
36, 38,  8,
35, 35,  9,
25, 40, 10,
15, 38, 11,
38, 33, 12,
13, 58, 13,
29, 49, 14,
18, 24, 15,
11, 51, 16,
19, 35, 17,
26, 29, 18,
14, 59, 19,
30, 21, 20,
15, 48, 21,
42, 26, 22,
# probe_1
39,  1,
28,  2,
38,  3,
32,  4,
52,  5,
82,  6,
92,  7,
74,  8,
95,  9,
83, 10,
41, 11,
57, 12,
42, 13,
25, 14,
52, 15,
72, 16,
56, 17,
51, 18,
40, 19,
94, 20,
55, 21,
52, 22,
# probe_2
20,  1,
30,  2,
39,  3,
73,  4,
68,  5,
66,  6,
73,  7,
91,  8,
67,  9,
55, 10,
69, 11,
29, 12,
54, 13,
69, 14,
65, 15,
75, 16,
50, 17,
65, 18,
87, 19,
24, 20,
67, 21,
21, 22,
